MsgID.LOCAL_POSITION,20.0320000,-0.1131840,0.1534183,-0.1073759
MsgID.LOCAL_VELOCITY,20.0320000,-0.0000155,-0.0000371,0.0000188
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924787,0.1060000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,20.2830000,-0.1917561,0.3573771,-0.1068233
MsgID.LOCAL_VELOCITY,20.2830000,0.0000125,-0.0000042,0.0000187
MsgID.GLOBAL_POSITION,0.0000000,-122.3974491,37.7924789,0.0940000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,20.5330000,-0.1673235,0.3662957,-0.0945362
MsgID.LOCAL_VELOCITY,20.5330000,-0.0000147,-0.0000012,0.0000205
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924804,0.0700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,20.7830000,0.0003018,0.2795605,-0.0707132
MsgID.LOCAL_VELOCITY,20.7830000,0.0000107,-0.0000051,0.0000232
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924811,0.0380000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,21.0330000,0.0763874,0.2795071,-0.0387576
MsgID.LOCAL_VELOCITY,21.0330000,-0.0000080,0.0000028,0.0000211
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924795,0.0040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,21.2830000,-0.1057185,0.2813358,-0.0041663
MsgID.LOCAL_VELOCITY,21.2830000,0.0000052,-0.0000217,0.0000209
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924787,-0.0280000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,21.5330000,-0.1944299,0.3027530,0.0285393
MsgID.LOCAL_VELOCITY,21.5330000,-0.0000117,-0.0000113,-0.0000165
MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7924798,-0.0530000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,21.7830000,-0.0641419,0.1395062,0.0535440
MsgID.LOCAL_VELOCITY,21.7830000,-0.0000629,-0.0000221,-0.0000717
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974518,37.7924811,-0.0660000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,22.0330000,0.0707181,0.1260856,0.0664519
MsgID.LOCAL_VELOCITY,22.0330000,0.0000127,0.0000243,0.0000384
MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7924799,-0.0610000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,22.2830000,-0.0529907,0.1423246,0.0617248
MsgID.LOCAL_VELOCITY,22.2830000,-0.0000359,-0.0000026,0.0000297
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924797,-0.0360000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,22.5330000,-0.0747482,0.2600830,0.0365432
MsgID.LOCAL_VELOCITY,22.5330000,0.0000108,-0.0000151,0.0000985
MsgID.LOCAL_POSITION,22.7830000,-0.1955225,0.3998803,-0.0071535
MsgID.LOCAL_VELOCITY,22.7830000,-0.0000406,0.0000367,0.0000125
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924787,0.0070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,23.0330000,-0.1421699,0.2687167,-0.0625870
MsgID.LOCAL_VELOCITY,23.0330000,0.0000187,0.0000123,0.0000232
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924791,0.0620000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924802,0.1200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,23.2830000,-0.0240656,0.4294861,-0.1201340
MsgID.LOCAL_VELOCITY,23.2830000,-0.0000211,-0.0000176,0.0000152
MsgID.GLOBAL_POSITION,0.0000000,-122.3974489,37.7924799,0.1690000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,23.5340000,-0.0599557,0.3905516,-0.1690783
MsgID.LOCAL_VELOCITY,23.5340000,0.0000124,-0.0000179,0.0000230
MsgID.GLOBAL_POSITION,0.0000000,-122.3974509,37.7924799,0.2000000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,23.7840000,-0.0612962,0.2069357,-0.2002883
MsgID.LOCAL_VELOCITY,23.7840000,-0.0000008,-0.0000207,0.0000170
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974507,37.7924796,0.2080000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,24.0340000,-0.0902737,0.2306520,-0.2089634
MsgID.LOCAL_VELOCITY,24.0340000,-0.0000003,-0.0000001,0.0000161
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924801,0.1950000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,24.2840000,-0.0388167,0.2793180,-0.1953895
MsgID.LOCAL_VELOCITY,24.2840000,0.0000186,-0.0000145,0.0000206
